Rank,Name,ID,Link,Score,Episodes,Type,Start Date,End Date
1,9.30,Sousou no Frieren,52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,28,Sep 2023,Mar 2024
2,9.10,Fullmetal Alchemist: Brotherhood,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,64,Apr 2009,Jul 2010
3,9.07,Steins;Gate,9253,https://myanimelist.net/anime/9253/Steins_Gate,TV,24,Apr 2011,Sep 2011
4,9.05,Shingeki no Kyojin Season 3 Part 2,38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV,10,Apr 2019,Jul 2019
5,9.05,Gintama: The Final,39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie,1,Jan 2021,Jan 2021
6,9.05,Gintama°,28977,https://myanimelist.net/anime/28977/Gintama°,TV,51,Apr 2015,Mar 2016
7,9.04,One Piece Fan Letter,60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,Special,1,Oct 2024,Oct 2024
8,9.03,Hunter x Hunter (2011),11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,148,Oct 2011,Sep 2014
9,9.02,Ginga Eiyuu Densetsu,820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,110,Jan 1988,Mar 1997
10,9.02,Gintama&#039;,9969,https://myanimelist.net/anime/9969/Gintama,TV,51,Apr 2011,Mar 2012
11,9.02,Gintama&#039;: Enchousen,15417,https://myanimelist.net/anime/15417/Gintama__Enchousen,TV,13,Oct 2012,Mar 2013
12,8.99,Bleach: Sennen Kessen-hen,41467,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,TV,13,Oct 2022,Dec 2022
13,8.98,Gintama.,34096,https://myanimelist.net/anime/34096/Gintama,TV,12,Jan 2017,Mar 2017
14,8.97,Kaguya-sama wa Kokurasetai: Ultra Romantic,43608,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,TV,13,Apr 2022,Jun 2022
15,8.95,Fruits Basket: The Final,42938,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,TV,13,Apr 2021,Jun 2021
16,8.93,Clannad: After Story,4181,https://myanimelist.net/anime/4181/Clannad__After_Story,TV,24,Oct 2008,Mar 2009
17,8.93,Gintama,918,https://myanimelist.net/anime/918/Gintama,TV,201,Apr 2006,Mar 2010
18,8.93,Koe no Katachi,28851,https://myanimelist.net/anime/28851/Koe_no_Katachi,Movie,1,Sep 2016,Sep 2016
19,8.92,Kusuriya no Hitorigoto 2nd Season,58514,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,TV,24,Jan 2025,Jul 2025
20,8.91,Code Geass: Hangyaku no Lelouch R2,2904,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,TV,25,Apr 2008,Sep 2008
21,8.90,3-gatsu no Lion 2nd Season,35180,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,TV,22,Oct 2017,Mar 2018
22,8.90,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,15335,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Movie,1,Jul 2013,Jul 2013
23,8.89,Monster,19,https://myanimelist.net/anime/19/Monster,TV,74,Apr 2004,Sep 2005
24,8.89,Takopii no Genzai,60489,https://myanimelist.net/anime/60489/Takopii_no_Genzai,ONA,6,Jun 2025,Aug 2025
25,8.88,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,37491,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,TV,14,Jul 2018,Oct 2018
26,8.86,Shingeki no Kyojin: The Final Season - Kanketsu-hen,51535,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,Special,2,Mar 2023,Nov 2023
27,8.86,Kusuriya no Hitorigoto,54492,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,TV,24,Oct 2023,Mar 2024
28,8.86,Owarimonogatari 2nd Season,35247,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Special,7,Aug 2017,Aug 2017
29,8.84,Violet Evergarden Movie,37987,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Movie,1,Sep 2020,Sep 2020
30,8.83,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,59571,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,Movie,1,Nov 2024,Nov 2024
31,8.83,Kimi no Na wa.,32281,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Movie,1,Aug 2016,Aug 2016
32,8.83,Kingdom 3rd Season,40682,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,TV,26,Apr 2020,Oct 2021
33,8.82,Vinland Saga Season 2,49387,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,TV,24,Jan 2023,Jun 2023
34,8.81,Gintama. Shirogane no Tamashii-hen,36838,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,TV,12,Jan 2018,Mar 2018
35,8.78,Hajime no Ippo,263,https://myanimelist.net/anime/263/Hajime_no_Ippo,TV,75,Oct 2000,Mar 2002
36,8.78,Shingeki no Kyojin: The Final Season,40028,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV,16,Dec 2020,Mar 2021
37,8.78,Kimetsu no Yaiba Movie: Mugen Jou-hen,59192,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie__Mugen_Jou-hen,Movie,3,Jul 2025,
38,8.78,Kizumonogatari III: Reiketsu-hen,31758,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Movie,1,Jan 2017,Jan 2017
39,8.78,Mob Psycho 100 II,37510,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,TV,13,Jan 2019,Apr 2019
40,8.77,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,32935,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,TV,10,Oct 2016,Dec 2016
41,8.77,Sen to Chihiro no Kamikakushi,199,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Movie,1,Jul 2001,Jul 2001
42,8.77,Shingeki no Kyojin: The Final Season Part 2,48583,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,TV,12,Jan 2022,Apr 2022
43,8.77,Vinland Saga,37521,https://myanimelist.net/anime/37521/Vinland_Saga,TV,24,Jul 2019,Dec 2019
44,8.76,Monogatari Series: Second Season,17074,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,TV,26,Jul 2013,Dec 2013
45,8.76,Ashita no Joe 2,2921,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,TV,47,Oct 1980,Aug 1981
46,8.75,Bocchi the Rock!,47917,https://myanimelist.net/anime/47917/Bocchi_the_Rock,TV,12,Oct 2022,Dec 2022
47,8.75,Cowboy Bebop,1,https://myanimelist.net/anime/1/Cowboy_Bebop,TV,26,Apr 1998,Apr 1999
48,8.74,Jujutsu Kaisen 2nd Season,51009,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,TV,23,Jul 2023,Dec 2023
49,8.73,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,52198,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Movie,1,Dec 2022,Dec 2022
50,8.73,Kaoru Hana wa Rin to Saku,59845,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku,TV,13,Jul 2025,Sep 2025
